0,読み,名前,市,説明,効果
88,かぬき,香貫温泉,沼津市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・ノイローゼ/不眠・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
89,へだ,戸田温泉,沼津市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・ノイローゼ/不眠・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
90,みやもと,宮本温泉,沼津市,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
91,あさぎり,朝霧温泉,富士宮市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・ノイローゼ/不眠・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
92,ふじのみや,富士宮温泉,富士宮市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
93,たけくら,竹倉温泉,三島市,,ノイローゼ/不眠・不妊症/婦人病・リウマチ/神経痛/骨折/打撲/腰痛
94,みしま,三島温泉,三島市,,アトピー性皮膚炎・胃腸病・肝臓病・肝臓病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
95,おおひと,大仁温泉,伊豆の国市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
96,かしわや,柏谷温泉,伊豆の国市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
97,ながおか,長岡温泉,伊豆の国市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
98,なごや,奈古谷温泉,伊豆の国市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・・・・・・・・
99,にらやま,韮山温泉,伊豆の国市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
100,こな,古奈温泉,伊豆市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
101,はたけ,畑毛温泉,函南町,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
102,みなみはこね,南箱根温泉,函南町,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・不妊症・婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
103,みね,峰温泉,河津町,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
104,ゆがの,湯ヶ野温泉,河津町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
105,いまいはま,今井浜温泉,河津町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
106,なしもと,梨本温泉,河津町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
107,やつ,谷津温泉,河津町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
108,ゆがの,湯ヶ野温泉,河津町,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
109,かんのん,観音温泉,下田市,,アトピー性皮膚炎・胃腸病・肝臓病・痔病・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・火傷/外傷・眼病・高血圧・不妊症・婦人病・便秘/美容作用
110,きさみ,吉佐美温泉,下田市,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
111,こうち,河内温泉,下田市,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
112,しもだ,下田温泉,下田市,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
113,しもだしらはま,下田白浜温泉,下田市,,アトピー性皮膚炎・肝臓病・眼病・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・火傷/外傷・痔病・糖尿病/肥満・動脈硬化・便秘/美容作用
114,とうじ,田牛温泉,下田市,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
115,よこかわ,横川温泉,下田市,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
116,れんだいじ,蓮台寺温泉,下田市,,アトピー性皮膚炎・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・肝臓病・眼病・高血圧・痔病・不妊症・婦人病・便秘/美容作用
117,あたがわ,熱川温泉,東伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
118,いなとり,稲取温泉,東伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
119,おおがわ,大川温泉,東伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
120,かたせ,片瀬温泉,東伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
121,きたがわ,北川温泉,東伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
122,しらた,白田温泉,東伊豆町,,不眠/ノイローゼ・不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・胃腸病・呼吸器疾患・痔病・水虫・糖尿病/肥満
123,しもがも,下賀茂温泉,南伊豆町,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・火傷/外傷・呼吸器疾患・痔病・水虫・糖尿病/肥満
124,うくす,宇久須温泉,西伊豆市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
125,おおそうり,大沢里温泉,西伊豆市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
126,にしな,仁科温泉,西伊豆市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
127,どうがしま,堂ヶ島温泉,西伊豆町,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
128,おおさわ,大沢温泉,松崎市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
129,さくらだ,桜田温泉,松崎市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
130,まつざき,松崎温泉,松崎市,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
131,もくみ/いしぶ/いわち,雲見/石部/岩地温泉,松崎市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
